
time,gFx,gFy,gFz,Latitude,Longitude,Speed (m/s),
0.049178,-0.0957,0.0000,1.0612,0.00000000,0.00000000,0.00000000,
0.067789,-0.0782,0.0000,1.0456,0.00000000,0.00000000,0.00000000,
0.068986,-0.0605,0.0000,1.0300,0.00000000,0.00000000,0.00000000,
0.102952,-0.0430,0.0000,1.0144,0.00000000,0.00000000,0.00000000,
0.104565,-0.0254,0.0000,1.0007,0.00000000,0.00000000,0.00000000,
0.142625,-0.0116,0.0000,1.0007,0.00000000,0.00000000,0.00000000,
0.143748,0.0000,0.0000,1.0007,0.00000000,0.00000000,0.00000000,
0.181919,0.0000,0.0000,1.0007,0.00000000,0.00000000,0.00000000,
0.182798,0.0000,0.0000,1.0007,0.00000000,0.00000000,0.00000000,
0.223513,0.0000,0.0000,1.0007,0.00000000,0.00000000,0.00000000,
0.224744,0.0000,0.0000,1.0007,0.00000000,0.00000000,0.00000000,
0.261651,0.0000,0.0000,1.0007,0.00000000,0.00000000,0.00000000,
0.262796,0.0000,0.0000,1.0007,0.00000000,0.00000000,0.00000000,
0.301352,0.0000,0.0000,1.0007,0.00000000,0.00000000,0.00000000,
0.302351,0.0000,0.0000,1.0007,0.00000000,0.00000000,0.00000000,
0.341190,0.0000,0.0000,1.0007,0.00000000,0.00000000,0.00000000,
0.342664,0.0000,0.0000,1.0007,0.00000000,0.00000000,0.00000000,
0.380840,0.0000,0.0000,1.0007,0.00000000,0.00000000,0.00000000,
0.381785,0.0000,0.0000,1.0007,0.00000000,0.00000000,0.00000000,
0.421256,0.0000,0.0000,1.0007,0.00000000,0.00000000,0.00000000,
0.422253,0.0000,0.0000,1.0007,0.00000000,0.00000000,0.00000000,
0.460438,0.0000,0.0000,1.0007,0.00000000,0.00000000,0.00000000,
0.461315,-0.0116,0.0000,1.0007,0.00000000,0.00000000,0.00000000,
0.500101,-0.0254,0.0000,1.0007,0.00000000,0.00000000,0.00000000,
0.500866,-0.0254,0.0000,1.0007,0.00000000,0.00000000,0.00000000,
0.540173,-0.0254,0.0000,1.0007,0.00000000,0.00000000,0.00000000,
0.541041,-0.0254,0.0000,1.0007,0.00000000,0.00000000,0.00000000,
0.579984,-0.0254,0.0000,1.0007,0.00000000,0.00000000,0.00000000,
0.580787,-0.0116,0.0000,1.0007,0.00000000,0.00000000,0.00000000,
0.619711,0.0000,0.0000,1.0007,0.00000000,0.00000000,0.00000000,
0.620774,0.0000,0.0000,1.0007,0.00000000,0.00000000,0.00000000,
0.659229,0.0000,0.0000,1.0007,0.00000000,0.00000000,0.00000000,
0.660106,0.0000,0.0000,1.0007,0.00000000,0.00000000,0.00000000,
0.699210,0.0000,0.0000,1.0007,0.00000000,0.00000000,0.00000000,
0.700733,0.0000,0.0000,1.0007,0.00000000,0.00000000,0.00000000,
0.738975,0.0000,0.0000,1.0007,0.00000000,0.00000000,0.00000000,
0.740065,0.0000,0.0000,1.0007,0.00000000,0.00000000,0.00000000,
0.778651,0.0000,0.0000,1.0007,0.00000000,0.00000000,0.00000000,
0.779515,0.0000,0.0000,1.0007,0.00000000,0.00000000,0.00000000,
0.818482,0.0000,0.0000,1.0007,0.00000000,0.00000000,0.00000000,
0.819589,0.0000,0.0000,1.0007,0.00000000,0.00000000,0.00000000,
0.858097,0.0000,0.0000,1.0007,0.00000000,0.00000000,0.00000000,
0.859044,0.0000,0.0000,1.0007,0.00000000,0.00000000,0.00000000,
0.897810,0.0000,0.0000,1.0007,0.00000000,0.00000000,0.00000000,
0.898694,0.0000,0.0000,1.0007,0.00000000,0.00000000,0.00000000,
0.937488,0.0000,0.0000,1.0007,0.00000000,0.00000000,0.00000000,
0.938533,0.0000,0.0000,1.0007,0.00000000,0.00000000,0.00000000,
0.977755,0.0000,0.0000,1.0007,0.00000000,0.00000000,0.00000000,
0.978684,0.0000,0.0000,1.0007,0.00000000,0.00000000,0.00000000,
1.017053,0.0000,0.0000,1.0007,0.00000000,0.00000000,0.00000000,
1.018475,0.0000,0.0000,1.0007,0.00000000,0.00000000,0.00000000,
1.056697,0.0000,0.0000,1.0007,0.00000000,0.00000000,0.00000000,
1.057679,0.0137,0.0000,1.0144,0.00000000,0.00000000,0.00000000,
1.096753,0.0312,-0.0137,1.0300,0.00000000,0.00000000,0.00000000,
1.098256,0.0468,-0.0332,1.0300,0.00000000,0.00000000,0.00000000,
1.136445,0.0645,-0.0488,1.0300,0.00000000,0.00000000,0.00000000,
1.137819,0.0859,-0.0624,1.0300,0.00000000,0.00000000,0.00000000,
1.176040,0.1055,-0.0624,1.0144,0.00000000,0.00000000,0.00000000,
1.177049,0.1153,-0.0624,0.9811,0.00000000,0.00000000,0.00000000,
1.215977,0.1250,-0.0468,0.9459,0.00000000,0.00000000,0.00000000,
