
time,gFx,gFy,gFz,Latitude,Longitude,Speed (m/s),
0.068474,0.0000,0.0000,1.0007,0.00000000,0.00000000,0.00000000,
0.075736,0.0000,0.0000,1.0007,30.32601333,78.00723333,0.00000000,
0.077308,0.0000,0.0000,1.0007,30.32601333,78.00723333,0.00000000,
0.116078,0.0000,0.0000,1.0007,30.32601333,78.00723333,0.00000000,
0.117566,0.0000,0.0000,1.0007,30.32601333,78.00723333,0.00000000,
0.156393,0.0000,0.0000,1.0007,30.32601333,78.00723333,0.00000000,
0.157394,0.0000,0.0000,1.0007,30.32601333,78.00723333,0.00000000,
0.196044,0.0000,0.0000,1.0007,30.32601333,78.00723333,0.00000000,
0.197547,0.0000,0.0000,1.0007,30.32601333,78.00723333,0.00000000,
0.236190,0.0000,0.0000,1.0007,30.32601333,78.00723333,0.00000000,
0.237395,0.0000,0.0000,1.0007,30.32601333,78.00723333,0.00000000,
0.277231,0.0000,0.0000,1.0007,30.32601333,78.00723333,0.00000000,
0.278507,0.0000,0.0000,1.0007,30.32601333,78.00723333,0.00000000,
0.315913,0.0000,0.0000,1.0007,30.32601333,78.00723333,0.00000000,
0.317149,0.0000,0.0000,1.0007,30.32601333,78.00723333,0.00000000,
0.354736,0.0000,0.0000,1.0007,30.32601333,78.00723333,0.00000000,
0.355923,0.0000,0.0000,1.0007,30.32601333,78.00723333,0.00000000,
0.395680,0.0000,0.0000,1.0007,30.32601333,78.00723333,0.00000000,
0.397170,0.0000,0.0000,1.0007,30.32601333,78.00723333,0.00000000,
0.435579,0.0000,0.0000,1.0007,30.32601333,78.00723333,0.00000000,
0.437391,0.0000,0.0000,1.0007,30.32601333,78.00723333,0.00000000,
0.474483,0.0000,0.0000,1.0007,30.32601333,78.00723333,0.00000000,
0.476024,0.0000,0.0000,1.0007,30.32601333,78.00723333,0.00000000,
0.514904,0.0000,0.0000,1.0007,30.32601333,78.00723333,0.00000000,
0.516200,0.0000,0.0000,1.0007,30.32601333,78.00723333,0.00000000,
0.556577,0.0000,0.0116,1.0007,30.32601333,78.00723333,0.00000000,
0.558693,0.0000,0.0116,1.0007,30.32601333,78.00723333,0.00000000,
0.595961,0.0000,0.0254,1.0007,30.32601333,78.00723333,0.00000000,
0.597414,0.0000,0.0254,1.0007,30.32601333,78.00723333,0.00000000,
0.635500,0.0000,0.0391,1.0007,30.32601333,78.00723333,0.00000000,
0.640020,0.0000,0.0391,1.0007,30.32601333,78.00723333,0.00000000,
0.674919,0.0000,0.0391,1.0007,30.32601333,78.00723333,0.00000000,
0.676145,0.0000,0.0391,1.0007,30.32601333,78.00723333,0.00000000,
0.714734,0.0000,0.0391,1.0007,30.32601333,78.00723333,0.00000000,
0.716382,0.0000,0.0391,1.0007,30.32601333,78.00723333,0.00000000,
0.754455,0.0000,0.0391,1.0007,30.32601333,78.00723333,0.00000000,
0.755783,0.0000,0.0391,1.0007,30.32601333,78.00723333,0.00000000,
0.794886,0.0000,0.0391,1.0007,30.32601333,78.00723333,0.00000000,
0.797255,0.0000,0.0528,1.0007,30.32601333,78.00723333,0.00000000,
0.834188,0.0000,0.0586,1.0007,30.32601333,78.00723333,0.00000000,
0.835877,-0.0137,0.0782,1.0007,30.32601333,78.00723333,0.00000000,
0.874501,-0.0254,0.0899,1.0007,30.32601333,78.00723333,0.00000000,
0.876203,-0.0254,0.1153,1.0007,30.32599167,78.00722500,0.00000000,
0.913970,-0.0254,0.1309,1.0007,30.32599167,78.00722500,0.00000000,
0.915659,-0.0254,0.1485,1.0007,30.32599167,78.00722500,0.00000000,
0.954156,-0.0254,0.1681,0.9869,30.32599167,78.00722500,0.00000000,
0.955836,-0.0116,0.1876,0.9869,30.32599167,78.00722500,0.00000000,
0.993273,0.0000,0.2033,0.9869,30.32599167,78.00722500,0.00000000,
0.994501,0.0000,0.2169,0.9869,30.32599167,78.00722500,0.00000000,
1.033116,0.0156,0.2266,0.9869,30.32599167,78.00722500,0.00000000,
1.034922,0.0312,0.2326,0.9869,30.32599167,78.00722500,0.00000000,
1.073498,0.0508,0.2326,1.0007,30.32599167,78.00722500,0.00000000,
1.074891,0.0703,0.2287,1.0007,30.32599167,78.00722500,0.00000000,
1.113863,0.0899,0.2247,1.0007,30.32599167,78.00722500,0.00000000,
1.115786,0.1055,0.2189,1.0007,30.32599167,78.00722500,0.00000000,
1.153233,0.0899,0.2189,1.0007,30.32599167,78.00722500,0.00000000,
1.154480,0.0722,0.2149,1.0007,30.32599167,78.00722500,0.00000000,
1.192788,0.0528,0.2149,1.0007,30.32599167,78.00722500,0.00000000,
1.194408,0.0332,0.2189,1.0007,30.32599167,78.00722500,0.00000000,
1.233562,0.0156,0.2247,0.9869,30.32599167,78.00722500,0.00000000,
1.235170,0.0000,0.2287,0.9733,30.32599167,78.00722500,0.00000000,
1.272915,0.0000,0.2287,0.9577,30.32599167,78.00722500,0.00000000,
1.274299,0.0000,0.2266,0.9420,30.32599167,78.00722500,0.00000000,
1.313163,0.0000,0.2208,0.9284,30.32599167,78.00722500,0.00000000,
1.314891,0.0000,0.2130,0.9284,30.32599167,78.00722500,0.00000000,
1.352689,0.0000,0.2012,0.9420,30.32599167,78.00722500,0.00000000,
1.354130,0.0000,0.1895,0.9557,30.32599167,78.00722500,0.00000000,
1.392453,0.0000,0.1739,0.9713,30.32599167,78.00722500,0.00000000,
1.393993,0.0137,0.1602,0.9869,30.32599167,78.00722500,0.00000000,
1.432730,0.0273,0.1504,1.0007,30.32599167,78.00722500,0.00000000,
1.435493,0.0410,0.1427,1.0144,30.32599167,78.00722500,0.00000000,
1.472152,0.0547,0.1367,1.0261,30.32599167,78.00722500,0.00000000,
1.473777,0.0684,0.1329,1.0261,30.32599167,78.00722500,0.00000000,
1.513961,0.0859,0.1329,1.0261,30.32599167,78.00722500,0.00000000,
1.516116,0.0879,0.1329,1.0261,30.32599167,78.00722500,0.00000000,
1.551735,0.0899,0.1329,1.0261,30.32599167,78.00722500,0.00000000,
1.552925,0.0899,0.1329,1.0144,30.32599167,78.00722500,0.00000000,
1.593329,0.0782,0.1329,1.0007,30.32599167,78.00722500,0.00000000,
1.594686,0.0624,0.1329,1.0007,30.32599167,78.00722500,0.00000000,
1.632931,0.0468,0.1329,1.0007,30.32599167,78.00722500,0.00000000,
1.634564,0.0293,0.1329,1.0007,30.32599167,78.00722500,0.00000000,
